epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1453.02,1.30448,1.15865,1.54989,0.80018,0.75379,0.80577,0.45149,1.03461,0.80932,1.19504,0.0011882,0.0011882,0.0011882
43,1487.79,1.30034,1.16014,1.54191,0.83857,0.71569,0.8084,0.43765,1.02908,1.22387,1.20753,0.0011684,0.0011684,0.0011684
44,1522.16,1.29646,1.14732,1.52888,0.83809,0.75104,0.82393,0.4546,1.00903,0.95664,1.17202,0.0011486,0.0011486,0.0011486
45,1556.52,1.29309,1.12661,1.53716,0.81659,0.72459,0.80551,0.44918,1.03065,1.10324,1.18689,0.0011288,0.0011288,0.0011288
46,1590.75,1.2658,1.10818,1.51118,0.85136,0.73529,0.822,0.44496,1.03299,0.9645,1.18962,0.001109,0.001109,0.001109
47,1625.11,1.27561,1.10188,1.51756,0.81583,0.76667,0.81414,0.44639,1.02729,1.16528,1.19713,0.0010892,0.0010892,0.0010892
48,1659.27,1.26673,1.10521,1.52172,0.85793,0.75778,0.8289,0.4406,1.01888,0.99015,1.18861,0.0010694,0.0010694,0.0010694
49,1693.79,1.2609,1.0843,1.51048,0.83382,0.75753,0.81089,0.44336,1.03562,1.06807,1.19822,0.0010496,0.0010496,0.0010496
50,1728.04,1.24745,1.05585,1.49585,0.87773,0.76078,0.8279,0.44503,1.04573,1.01552,1.19793,0.0010298,0.0010298,0.0010298
51,1762.42,1.23435,1.05579,1.49537,0.84599,0.7549,0.8312,0.45187,1.01577,0.94216,1.19028,0.00101,0.00101,0.00101
52,1796.54,1.22774,1.04065,1.47873,0.86446,0.72745,0.79812,0.4317,1.04774,1.16483,1.20381,0.0009902,0.0009902,0.0009902
53,1830.74,1.23986,1.06649,1.49589,0.87561,0.73725,0.83591,0.4591,1.03099,1.10468,1.18991,0.0009704,0.0009704,0.0009704
54,1865.36,1.24716,1.04769,1.50389,0.87791,0.7614,0.85203,0.46461,1.00955,0.98002,1.17406,0.0009506,0.0009506,0.0009506
55,1899.9,1.22476,1.02714,1.4733,0.89008,0.76214,0.84737,0.46474,1.01679,0.77127,1.17308,0.0009308,0.0009308,0.0009308
56,1934.33,1.223,1.01406,1.47115,0.87243,0.76667,0.83649,0.45655,1.02307,1.08318,1.18345,0.000911,0.000911,0.000911
57,1968.65,1.20495,1.00341,1.46145,0.84282,0.77059,0.83936,0.4641,1.03228,1.09466,1.18832,0.0008912,0.0008912,0.0008912
58,2002.93,1.19265,0.96432,1.4511,0.83042,0.77059,0.83915,0.46098,1.01488,1.06995,1.17942,0.0008714,0.0008714,0.0008714
59,2037.36,1.19685,0.97687,1.45791,0.8628,0.77843,0.83982,0.45854,1.03214,0.90075,1.18363,0.0008516,0.0008516,0.0008516
