epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,829.746,1.25964,1.06934,1.50929,0.83671,0.69804,0.80288,0.41487,1.64531,1.00967,1.91237,0.0011882,0.0011882,0.0011882
43,849.267,1.2426,1.04299,1.494,0.7835,0.79216,0.81321,0.43288,1.60118,0.96681,1.89116,0.0011684,0.0011684,0.0011684
44,869.256,1.24287,1.02528,1.49292,0.83259,0.74114,0.82432,0.44698,1.54964,0.93409,1.85749,0.0011486,0.0011486,0.0011486
45,888.906,1.23921,1.02611,1.49955,0.78971,0.74902,0.80883,0.43691,1.64335,1.00157,1.94565,0.0011288,0.0011288,0.0011288
46,908.673,1.22194,1.00634,1.48736,0.80369,0.79216,0.82373,0.44824,1.59993,0.95663,1.87744,0.001109,0.001109,0.001109
47,928.354,1.22456,0.99797,1.487,0.84918,0.71759,0.80711,0.44541,1.6102,0.94772,1.92583,0.0010892,0.0010892,0.0010892
48,948.056,1.21513,0.97992,1.47618,0.8296,0.76372,0.82959,0.44895,1.51098,0.95136,1.82805,0.0010694,0.0010694,0.0010694
49,967.684,1.19624,0.97136,1.46557,0.86308,0.72921,0.83305,0.4461,1.63428,0.97005,1.9256,0.0010496,0.0010496,0.0010496
50,987.419,1.20002,0.94751,1.45446,0.84303,0.74706,0.83343,0.45746,1.63213,0.91461,1.93129,0.0010298,0.0010298,0.0010298
51,1007.02,1.20177,0.94201,1.46005,0.82499,0.75882,0.83453,0.47008,1.61599,0.88978,1.92879,0.00101,0.00101,0.00101
52,1026.8,1.19111,0.95005,1.4531,0.84632,0.8,0.84885,0.45268,1.56735,0.89448,1.86047,0.0009902,0.0009902,0.0009902
53,1046.51,1.18617,0.94214,1.44699,0.8609,0.77451,0.85307,0.45451,1.56124,0.89648,1.87141,0.0009704,0.0009704,0.0009704
54,1066.2,1.18819,0.93788,1.45263,0.86104,0.77451,0.84718,0.45436,1.6076,0.86876,1.92168,0.0009506,0.0009506,0.0009506
55,1085.93,1.18013,0.93415,1.44785,0.87381,0.77647,0.84854,0.44668,1.54575,0.88756,1.86609,0.0009308,0.0009308,0.0009308
56,1105.63,1.15087,0.92558,1.43114,0.86483,0.77782,0.84695,0.45736,1.53653,0.86333,1.89471,0.000911,0.000911,0.000911
57,1125.15,1.14568,0.89562,1.41464,0.86716,0.76275,0.84988,0.45872,1.62206,0.86423,1.97601,0.0008912,0.0008912,0.0008912
58,1144.82,1.15113,0.90517,1.42091,0.85685,0.77463,0.84412,0.4629,1.6104,0.87005,1.94814,0.0008714,0.0008714,0.0008714
