epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2126,1.76424,2.18441,1.68129,0.42426,0.34099,0.31474,0.09834,1.49784,6.66643,1.30935,0.00066485,0.00066485,0.00066485
2,63.8301,1.85317,2.07003,1.73514,0.35523,0.3098,0.27707,0.11757,1.45829,7.30299,1.24371,0.00131833,0.00131833,0.00131833
3,92.4229,1.86756,2.03452,1.76375,0.45961,0.35686,0.31737,0.12704,1.49365,7.66939,1.43711,0.00195862,0.00195862,0.00195862
4,120.453,1.83349,2.00791,1.73248,0.52527,0.35294,0.3792,0.15834,1.46493,3.74279,1.30827,0.0019406,0.0019406,0.0019406
5,148.83,1.76949,1.89776,1.67341,0.53046,0.40196,0.40493,0.16333,1.34894,5.35726,1.24978,0.0019208,0.0019208,0.0019208
6,177.409,1.73856,1.88238,1.66865,0.5411,0.49216,0.47956,0.19944,1.2686,5.33725,1.20984,0.001901,0.001901,0.001901
7,206.03,1.71556,1.8056,1.64257,0.53139,0.41569,0.41998,0.16863,1.34114,2.79368,1.23966,0.0018812,0.0018812,0.0018812
8,234.485,1.70658,1.78032,1.63416,0.62496,0.4901,0.55025,0.25493,1.251,3.44401,1.21047,0.0018614,0.0018614,0.0018614
9,262.987,1.67678,1.74536,1.61807,0.6285,0.51569,0.55775,0.24447,1.30077,2.18418,1.20402,0.0018416,0.0018416,0.0018416
10,291.079,1.66146,1.72478,1.59931,0.66277,0.48235,0.56042,0.26958,1.22851,2.58199,1.1539,0.0018218,0.0018218,0.0018218
11,319.376,1.65431,1.70655,1.60605,0.6486,0.59412,0.63836,0.30562,1.18577,2.5515,1.10424,0.001802,0.001802,0.001802
12,348.329,1.63576,1.65165,1.58497,0.61808,0.53137,0.57147,0.26115,1.20853,2.46289,1.14062,0.0017822,0.0017822,0.0017822
13,376.61,1.62081,1.64372,1.57651,0.64107,0.5288,0.59758,0.27995,1.21317,3.17544,1.13643,0.0017624,0.0017624,0.0017624
